what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1314045369895
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314045372991
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314045375558
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314045375715
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314045410661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314045412150
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1314045412341
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314045412341
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1314045413936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314045564148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314045602801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314045644783
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1314045656408
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1314045667440
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314045760019
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314045765136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314045860040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314045866301
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314045868160
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314045868489
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314045868670
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314045996829
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314045997048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314046068607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314046068842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314046157398
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314046463613
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314046467197
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.format",1314046490927
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314046512582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314046837096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314046840389
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314046898165
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314046900896
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1314046904938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314046909580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314046932948
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1314046935670
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314046942663
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314046953652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314046967418
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1314046967623
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314046969086
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314046971185
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1314046973967
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314046975043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314046996412
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1314046997851
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314047029669
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314047107023
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314047110060
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1314047113395
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314047128843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314047282035
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314047290109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106531295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106656947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106664573
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106667907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107293925
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1314107327125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107368644
opened,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1314107392092
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1314107392229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107392372
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314107392399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1314107392619
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1314107396546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314107481989
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314107530597
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107536232
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107564270
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314107564741
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314107564934
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314107571283
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314107571549
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314107578601
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107626896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107627115
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314107636456
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1314107640722
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314107642499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107660338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107689010
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.override.methods",1314107689297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107810081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107828931
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314107924536
opened,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1314107925486
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1314107925584
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314107967843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314107975156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314108119474
started,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1314108122221
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314108122293
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1314108125949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314108126307
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314108128527
