what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314118419097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314118425128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314118467933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314118470063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314118477569
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1314118527458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314118535718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314118540830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314118635266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314118813191
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314118814770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314118817937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314118818237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314118851097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314118858259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314118872491
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314119055525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314119055838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314119191213
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314119196923
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1314119204081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1314119204721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314119207810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314119256903
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314119261242
